text,label
The story collapses after the first thirty minutes.,0
"It was loud, messy, and emotionally empty.",0
A confident and entertaining film from start to finish.,1
The film handles a difficult theme with care.,1
The director creates tension with impressive control.,1
The plot made no sense and the dialogue was terrible.,0
A smart and engaging film with a strong message.,1
The pacing is strong and the performances feel natural.,1
"This film was boring, slow, and painfully predictable.",0
Beautifully shot and sincerely performed.,1
"Even though it starts slowly, the movie becomes deeply rewarding.",1
The movie repeats the same idea until it becomes exhausting.,0
Poor editing makes the whole movie hard to follow.,0
"The humor, drama, and music come together beautifully.",1
"Although the trailer looked promising, the film is a complete mess.",0
Great chemistry between the main actors.,1
I would not recommend this to anyone.,0
"I wanted to like it, but the story never convinced me.",0
The characters are flat and the conflict is unconvincing.,0
The jokes fall flat and the ending is disappointing.,0
A delightful film that I want to watch again.,1
An excellent story that kept me interested until the end.,1
The emotional scenes worked very well for me.,1
I enjoyed the clever writing and balanced humor.,1
The movie wastes a good cast on a weak script.,0
